date Thu Jul 31 03:38:21.727 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu Jul 31 03:38:21.742 PM 2025
 0.000000 Start of measurement
 0.000000 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 DD 00 00 00 00        0    0     3000        0        0        0        0        0
 0.020415 CANFD   1 Rx        71E                                   1 0 8  8 10 0B 62 F1 DD 30 31 2E        0    0     3000        0        0        0        0        0
 0.027395 CANFD   1 Tx        716                                   1 0 8  8 30 08 64 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.030325 CANFD   1 Rx        71E                                   1 0 8  8 21 30 30 2E 30 31 AA AA        0    0     3000        0        0        0        0        0
 0.142433 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 00 00 00 00 00        0    0     3000        0        0        0        0        0
 61.150557 1  ErrorFrame
 61.150577 1  ErrorFrame
 61.150590 1  ErrorFrame
 61.150602 1  ErrorFrame
 61.150618 1  ErrorFrame
 61.150630 1  ErrorFrame
 61.150642 1  ErrorFrame
 61.151174 1  ErrorFrame
 61.151207 1  ErrorFrame
 62.181404 1  ErrorFrame
 63.197875 1  ErrorFrame
 63.198013 1  ErrorFrame
 63.198369 1  ErrorFrame
 63.198381 1  ErrorFrame
 63.198388 1  ErrorFrame
 63.198397 1  ErrorFrame
 63.198403 1  ErrorFrame
 63.198508 1  ErrorFrame
 63.199068 1  ErrorFrame
 63.199079 1  ErrorFrame
 63.199085 1  ErrorFrame
 63.199091 1  ErrorFrame
 63.199097 1  ErrorFrame
 63.199107 1  ErrorFrame
 63.199113 1  ErrorFrame
 63.199119 1  ErrorFrame
 63.199126 1  ErrorFrame
 63.199236 1  ErrorFrame
 63.199363 1  ErrorFrame
 63.199545 1  ErrorFrame
 63.199556 1  ErrorFrame
 63.199808 1  ErrorFrame
 63.199818 1  ErrorFrame
 63.199825 1  ErrorFrame
 63.199922 1  ErrorFrame
 63.200276 1  ErrorFrame
 63.200285 1  ErrorFrame
 63.200292 1  ErrorFrame
 63.200297 1  ErrorFrame
 63.200543 1  ErrorFrame
 63.200552 1  ErrorFrame
 64.229409 1  ErrorFrame
 65.247644 1  ErrorFrame
 65.247786 1  ErrorFrame
 65.248070 1  ErrorFrame
 65.248081 1  ErrorFrame
 65.248087 1  ErrorFrame
 65.248094 1  ErrorFrame
 65.248194 1  ErrorFrame
 65.248835 1  ErrorFrame
 65.248847 1  ErrorFrame
 65.248853 1  ErrorFrame
 65.248859 1  ErrorFrame
 65.248866 1  ErrorFrame
 65.248873 1  ErrorFrame
 65.248879 1  ErrorFrame
 65.248886 1  ErrorFrame
 65.248895 1  ErrorFrame
 65.248901 1  ErrorFrame
 65.249013 1  ErrorFrame
 65.249221 1  ErrorFrame
 65.249231 1  ErrorFrame
 65.249759 1  ErrorFrame
 65.249771 1  ErrorFrame
 65.249780 1  ErrorFrame
 65.249786 1  ErrorFrame
 65.249792 1  ErrorFrame
 65.249799 1  ErrorFrame
 65.249964 1  ErrorFrame
 65.249977 1  ErrorFrame
 65.250223 1  ErrorFrame
 65.250233 1  ErrorFrame
 66.277450 1  ErrorFrame
 67.272000 1  ErrorFrame
 67.272055 1  ErrorFrame
 67.272068 1  ErrorFrame
 67.272081 1  ErrorFrame
 67.272093 1  ErrorFrame
 67.272109 1  ErrorFrame
 67.272121 1  ErrorFrame
 67.272132 1  ErrorFrame
 67.272144 1  ErrorFrame
 67.272153 1  ErrorFrame
 67.272166 1  ErrorFrame
 67.272176 1  ErrorFrame
 67.272651 1  ErrorFrame
 67.272670 1  ErrorFrame
 67.272684 1  ErrorFrame
 67.273753 1  ErrorFrame
 67.273795 1  ErrorFrame
 67.273807 1  ErrorFrame
 67.273818 1  ErrorFrame
 67.273831 1  ErrorFrame
 67.273842 1  ErrorFrame
 68.293414 1  ErrorFrame
 69.325258 1  ErrorFrame
 69.325387 1  ErrorFrame
 69.325402 1  ErrorFrame
 69.325414 1  ErrorFrame
 69.325426 1  ErrorFrame
 69.325440 1  ErrorFrame
 69.327437 1  ErrorFrame
 69.327482 1  ErrorFrame
 69.327495 1  ErrorFrame
 69.327506 1  ErrorFrame
 69.327520 1  ErrorFrame
 69.327531 1  ErrorFrame
 69.327542 1  ErrorFrame
 69.327553 1  ErrorFrame
 69.327564 1  ErrorFrame
 69.327574 1  ErrorFrame
 69.327585 1  ErrorFrame
 69.327596 1  ErrorFrame
 69.327608 1  ErrorFrame
 69.327623 1  ErrorFrame
 69.327633 1  ErrorFrame
 70.341427 1  ErrorFrame
 71.371370 1  ErrorFrame
 71.371466 1  ErrorFrame
 71.371479 1  ErrorFrame
 71.371491 1  ErrorFrame
 71.371503 1  ErrorFrame
 71.371516 1  ErrorFrame
 71.371530 1  ErrorFrame
 71.371541 1  ErrorFrame
 71.371558 1  ErrorFrame
 71.371570 1  ErrorFrame
 71.371582 1  ErrorFrame
 71.371593 1  ErrorFrame
 71.371608 1  ErrorFrame
 71.371623 1  ErrorFrame
 71.371637 1  ErrorFrame
 71.371649 1  ErrorFrame
 71.371663 1  ErrorFrame
 71.371677 1  ErrorFrame
 71.371689 1  ErrorFrame
 71.371701 1  ErrorFrame
 71.371712 1  ErrorFrame
 71.371726 1  ErrorFrame
 72.389398 1  ErrorFrame
 73.410067 1  ErrorFrame
 73.410284 1  ErrorFrame
 73.410298 1  ErrorFrame
 73.410399 1  ErrorFrame
 73.410710 1  ErrorFrame
 73.410720 1  ErrorFrame
 73.410726 1  ErrorFrame
 73.410733 1  ErrorFrame
 73.410925 1  ErrorFrame
 73.410937 1  ErrorFrame
 73.410944 1  ErrorFrame
 73.411184 1  ErrorFrame
 73.411195 1  ErrorFrame
 73.411202 1  ErrorFrame
 73.411462 1  ErrorFrame
 73.411472 1  ErrorFrame
 73.411478 1  ErrorFrame
 73.411643 1  ErrorFrame
 73.411651 1  ErrorFrame
 73.411832 1  ErrorFrame
 73.411841 1  ErrorFrame
 73.412100 1  ErrorFrame
 73.412109 1  ErrorFrame
 73.412114 1  ErrorFrame
 73.412294 1  ErrorFrame
 73.412302 1  ErrorFrame
 73.412482 1  ErrorFrame
 73.412491 1  ErrorFrame
 73.412742 1  ErrorFrame
 73.412761 1  ErrorFrame
 74.437417 1  ErrorFrame
 75.422197 1  ErrorFrame
 75.422257 1  ErrorFrame
 75.422395 1  ErrorFrame
 75.422955 1  ErrorFrame
 75.422966 1  ErrorFrame
 75.422974 1  ErrorFrame
 75.422980 1  ErrorFrame
 75.422986 1  ErrorFrame
 75.422993 1  ErrorFrame
 75.423000 1  ErrorFrame
 75.423007 1  ErrorFrame
 75.423411 1  ErrorFrame
 75.423424 1  ErrorFrame
 75.423430 1  ErrorFrame
 75.423436 1  ErrorFrame
 75.423442 1  ErrorFrame
 75.423598 1  ErrorFrame
 75.423876 1  ErrorFrame
 75.423890 1  ErrorFrame
 75.423897 1  ErrorFrame
 75.424147 1  ErrorFrame
 75.424163 1  ErrorFrame
 75.424170 1  ErrorFrame
 75.424342 1  ErrorFrame
 75.424355 1  ErrorFrame
 75.424743 1  ErrorFrame
 75.424754 1  ErrorFrame
 75.424761 1  ErrorFrame
 75.424770 1  ErrorFrame
 76.453425 1  ErrorFrame
 77.478060 1  ErrorFrame
 77.478102 1  ErrorFrame
 77.478272 1  ErrorFrame
 77.478401 1  ErrorFrame
 77.478542 1  ErrorFrame
 77.480597 1  ErrorFrame
 77.480617 1  ErrorFrame
 77.480627 1  ErrorFrame
 77.480639 1  ErrorFrame
